scene,model,backbone,method,schedule,seed,final_score,delta_vs_no_robot,总动作数,启动任务实例数,完成任务实例数_代理,阶段完成率_代理,局部固着率,过早切换次数
simple_factory_1f,vllm_deepseek_r1_14b_goal_review,vllm_deepseek_r1_14b,goal_review,fixed,0,0.6433,0.2627,800,20,20,1.0,0.2675,0
simple_factory_1f,vllm_deepseek_r1_14b_reactive,vllm_deepseek_r1_14b,reactive,fixed,0,0.3845,0.0039,800,0,0,0.0,0.3713,0
simple_factory_1f,vllm_deepseek_r1_14b_single_round,vllm_deepseek_r1_14b,single_round,fixed,0,0.6461,0.2655,800,18,18,1.0,0.275,0
simple_factory_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,calendar,0,0.6403,0.2592,800,19,19,1.0,0.31,0
simple_factory_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,fixed,0,0.6451,0.2645,800,23,23,1.0,0.3063,0
simple_factory_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,stochastic,42,0.663,0.2787,800,16,16,1.0,0.2275,0
simple_factory_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,calendar,0,0.3526,-0.0285,800,0,0,0.0,0.9625,0
simple_factory_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,fixed,0,0.352,-0.0286,800,0,0,0.0,0.9625,0
simple_factory_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,stochastic,42,0.3973,0.013,800,0,0,0.0,0.7575,0
simple_factory_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,calendar,0,0.6418,0.2607,800,15,15,1.0,0.31,0
simple_factory_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,fixed,0,0.6421,0.2615,800,18,18,1.0,0.3063,0
simple_factory_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,stochastic,42,0.6638,0.2795,800,15,15,1.0,0.2288,0
simple_factory_1f,vllm_qwen3_5_9b_goal_review,vllm_qwen3_5_9b,goal_review,fixed,0,0.5933,0.2127,800,29,29,1.0,0.2112,0
simple_factory_1f,vllm_qwen3_5_9b_reactive,vllm_qwen3_5_9b,reactive,fixed,0,0.3699,-0.0107,800,0,0,0.0,0.67,0
simple_factory_1f,vllm_qwen3_5_9b_single_round,vllm_qwen3_5_9b,single_round,fixed,0,0.6478,0.2672,800,17,17,1.0,0.2787,0
simple_home_1f,vllm_deepseek_r1_14b_goal_review,vllm_deepseek_r1_14b,goal_review,fixed,0,0.7612,0.1024,800,80,75,0.9375,0.0762,5
simple_home_1f,vllm_deepseek_r1_14b_reactive,vllm_deepseek_r1_14b,reactive,fixed,0,0.6562,-0.0026,800,0,0,0.0,0.9137,0
simple_home_1f,vllm_deepseek_r1_14b_single_round,vllm_deepseek_r1_14b,single_round,fixed,0,0.627,-0.0318,800,2,1,0.5,0.31,0
simple_home_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,calendar,0,0.6661,0.0026,800,109,107,0.9817,0.2838,1
simple_home_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,fixed,0,0.778,0.1192,800,90,90,1.0,0.1175,0
simple_home_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,stochastic,42,0.6649,0.0011,800,62,61,0.9839,0.2625,0
simple_home_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,calendar,0,0.6567,-0.0068,800,0,0,0.0,0.995,0
simple_home_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,fixed,0,0.6744,0.0156,800,0,0,0.0,0.8488,0
simple_home_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,stochastic,42,0.6815,0.0177,800,0,0,0.0,0.9387,0
simple_home_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,calendar,0,0.6189,-0.0446,800,2,1,0.5,0.3312,0
simple_home_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,fixed,0,0.6157,-0.0431,800,2,1,0.5,0.3312,0
simple_home_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,stochastic,42,0.6336,-0.0302,800,2,1,0.5,0.33,0
simple_home_1f,vllm_qwen3_5_9b_goal_review,vllm_qwen3_5_9b,goal_review,fixed,0,0.6717,0.0129,800,291,287,0.9863,0.325,4
simple_home_1f,vllm_qwen3_5_9b_reactive,vllm_qwen3_5_9b,reactive,fixed,0,0.6672,0.0084,800,0,0,0.0,0.2487,0
simple_home_1f,vllm_qwen3_5_9b_single_round,vllm_qwen3_5_9b,single_round,fixed,0,0.6181,-0.0407,800,2,1,0.5,0.3175,0
simple_hospital_1f,vllm_deepseek_r1_14b_goal_review,vllm_deepseek_r1_14b,goal_review,fixed,0,0.7329,0.2124,800,200,200,1.0,0.18,0
simple_hospital_1f,vllm_deepseek_r1_14b_reactive,vllm_deepseek_r1_14b,reactive,fixed,0,0.5158,-0.0047,800,0,0,0.0,0.99,0
simple_hospital_1f,vllm_deepseek_r1_14b_single_round,vllm_deepseek_r1_14b,single_round,fixed,0,0.6953,0.1748,800,333,332,0.997,0.3563,0
simple_hospital_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,calendar,0,0.695,0.1745,800,330,329,0.997,0.35,0
simple_hospital_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,fixed,0,0.5856,0.0651,800,199,198,0.995,0.275,0
simple_hospital_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,stochastic,42,0.6584,0.1457,800,304,303,0.9967,0.3262,0
simple_hospital_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,calendar,0,0.514,-0.0065,800,0,0,0.0,0.4625,0
simple_hospital_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,fixed,0,0.5107,-0.0098,800,0,0,0.0,0.2487,0
simple_hospital_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,stochastic,42,0.5077,-0.005,800,0,0,0.0,0.245,0
simple_hospital_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,calendar,0,0.6953,0.1748,800,333,332,0.997,0.3563,0
simple_hospital_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,fixed,0,0.6953,0.1748,800,333,332,0.997,0.3563,0
simple_hospital_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,stochastic,42,0.6569,0.1442,800,302,301,0.9967,0.3262,0
simple_hospital_1f,vllm_qwen3_5_9b_goal_review,vllm_qwen3_5_9b,goal_review,fixed,0,0.5725,0.052,800,9,9,1.0,0.465,0
simple_hospital_1f,vllm_qwen3_5_9b_reactive,vllm_qwen3_5_9b,reactive,fixed,0,0.5437,0.0232,800,0,0,0.0,0.495,0
simple_hospital_1f,vllm_qwen3_5_9b_single_round,vllm_qwen3_5_9b,single_round,fixed,0,0.6953,0.1748,800,333,332,0.997,0.3563,0
simple_office_1f,vllm_deepseek_r1_14b_goal_review,vllm_deepseek_r1_14b,goal_review,fixed,0,0.7415,0.2856,800,21,21,1.0,0.2637,0
simple_office_1f,vllm_deepseek_r1_14b_reactive,vllm_deepseek_r1_14b,reactive,fixed,0,0.4624,0.0065,800,0,0,0.0,0.3362,0
simple_office_1f,vllm_deepseek_r1_14b_single_round,vllm_deepseek_r1_14b,single_round,fixed,0,0.7398,0.2839,800,18,18,1.0,0.3162,0
simple_office_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,calendar,0,0.7198,0.2646,800,22,22,1.0,0.3638,0
simple_office_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,fixed,0,0.7137,0.2578,800,29,29,1.0,0.3375,0
simple_office_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,stochastic,42,0.7132,0.2514,800,16,15,0.9375,0.3812,1
simple_office_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,calendar,0,0.452,-0.0032,800,0,0,0.0,0.26,0
simple_office_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,fixed,0,0.5968,0.1409,800,0,0,0.0,0.3925,0
simple_office_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,stochastic,42,0.4876,0.0258,800,0,0,0.0,0.4387,0
simple_office_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,calendar,0,0.7357,0.2805,800,15,15,1.0,0.3525,0
simple_office_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,fixed,0,0.7341,0.2782,800,18,18,1.0,0.325,0
simple_office_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,stochastic,42,0.7288,0.267,800,10,10,1.0,0.2637,0
simple_office_1f,vllm_qwen3_5_9b_goal_review,vllm_qwen3_5_9b,goal_review,fixed,0,0.6716,0.2157,800,38,38,1.0,0.2112,0
simple_office_1f,vllm_qwen3_5_9b_reactive,vllm_qwen3_5_9b,reactive,fixed,0,0.5126,0.0567,800,0,0,0.0,0.2762,0
simple_office_1f,vllm_qwen3_5_9b_single_round,vllm_qwen3_5_9b,single_round,fixed,0,0.7547,0.2988,800,18,18,1.0,0.2838,0
simple_supermarket_1f,vllm_deepseek_r1_14b_goal_review,vllm_deepseek_r1_14b,goal_review,fixed,0,0.686,0.1098,800,5,5,1.0,0.355,0
simple_supermarket_1f,vllm_deepseek_r1_14b_reactive,vllm_deepseek_r1_14b,reactive,fixed,0,0.6097,0.0335,800,0,0,0.0,0.3375,0
simple_supermarket_1f,vllm_deepseek_r1_14b_single_round,vllm_deepseek_r1_14b,single_round,fixed,0,0.6957,0.1195,800,8,8,1.0,0.3237,0
simple_supermarket_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,calendar,0,0.6853,0.1091,800,5,5,1.0,0.3538,0
simple_supermarket_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,fixed,0,0.6855,0.1093,800,6,6,1.0,0.3538,0
simple_supermarket_1f,vllm_llama3_1_8b_goal_review,vllm_llama3_1_8b,goal_review,stochastic,42,0.6771,0.0963,800,9,9,1.0,0.3275,0
simple_supermarket_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,calendar,0,0.5525,-0.0237,800,0,0,0.0,0.3463,0
simple_supermarket_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,fixed,0,0.5522,-0.024,800,0,0,0.0,0.3337,0
simple_supermarket_1f,vllm_llama3_1_8b_reactive,vllm_llama3_1_8b,reactive,stochastic,42,0.5556,-0.0252,800,0,0,0.0,0.2888,0
simple_supermarket_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,calendar,0,0.6951,0.1189,800,8,8,1.0,0.3262,0
simple_supermarket_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,fixed,0,0.7417,0.1655,800,15,15,1.0,0.2938,0
simple_supermarket_1f,vllm_llama3_1_8b_single_round,vllm_llama3_1_8b,single_round,stochastic,42,0.678,0.0972,800,7,7,1.0,0.325,0
simple_supermarket_1f,vllm_qwen3_5_9b_goal_review,vllm_qwen3_5_9b,goal_review,fixed,0,0.6896,0.1134,800,23,20,0.8696,0.2825,3
simple_supermarket_1f,vllm_qwen3_5_9b_reactive,vllm_qwen3_5_9b,reactive,fixed,0,0.568,-0.0082,800,0,0,0.0,0.2087,0
simple_supermarket_1f,vllm_qwen3_5_9b_single_round,vllm_qwen3_5_9b,single_round,fixed,0,0.6582,0.082,800,3,3,1.0,0.3738,0
