scene,method,run_id,final_score,state_score,spatial_score,human_event_score,metrics_path
simple_home_1f,no_robot,20260529T161048Z_917ff90f,0.6588,0.5956,0.6187,0.8710,backend/data/experiments/simple_home_1f/steps_800__robots_0__humans_1__model_npc_only_baseline/20260529T161048Z_917ff90f/no_robot/metrics.csv
simple_home_1f,reactive,20260529T161103Z_bd97f81e,0.6562,0.5900,0.6187,0.8710,backend/data/experiments/simple_home_1f/steps_800__robots_1__humans_1__model_vllm_deepseek_r1_14b_reactive/20260529T161103Z_bd97f81e/with_robot/metrics.csv
simple_home_1f,single_round,20260529T162536Z_b4011ce2,0.6270,0.6460,0.5553,0.7097,backend/data/experiments/simple_home_1f/steps_800__robots_1__humans_1__model_vllm_deepseek_r1_14b_single_round/20260529T162536Z_b4011ce2/with_robot/metrics.csv
simple_home_1f,goal_review,20260529T180700Z_e482a967,0.7612,0.6397,0.8179,0.9355,backend/data/experiments/simple_home_1f/steps_800__robots_1__humans_1__model_vllm_deepseek_r1_14b_goal_review/20260529T180700Z_e482a967/with_robot/metrics.csv
simple_hospital_1f,no_robot,20260529T193356Z_c49ae8da,0.5205,0.5634,0.2904,0.8264,backend/data/experiments/simple_hospital_1f/steps_800__robots_0__humans_3__model_npc_only_baseline/20260529T193356Z_c49ae8da/no_robot/metrics.csv
simple_hospital_1f,reactive,20260529T193420Z_244f138a,0.5158,0.5531,0.2904,0.8264,backend/data/experiments/simple_hospital_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_reactive/20260529T193420Z_244f138a/with_robot/metrics.csv
simple_hospital_1f,single_round,20260529T195443Z_950470a7,0.6953,0.5679,0.6851,1.0000,backend/data/experiments/simple_hospital_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_single_round/20260529T195443Z_950470a7/with_robot/metrics.csv
simple_hospital_1f,goal_review,20260529T203956Z_ef784743,0.7329,0.5799,0.7769,1.0000,backend/data/experiments/simple_hospital_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_goal_review/20260529T203956Z_ef784743/with_robot/metrics.csv
simple_supermarket_1f,no_robot,20260529T215738Z_bdd7dafe,0.5762,0.4490,0.7321,0.5897,backend/data/experiments/simple_supermarket_1f/steps_800__robots_0__humans_3__model_npc_only_baseline/20260529T215738Z_bdd7dafe/no_robot/metrics.csv
simple_supermarket_1f,reactive,20260529T215759Z_20da938f,0.6097,0.4665,0.7321,0.7179,backend/data/experiments/simple_supermarket_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_reactive/20260529T215759Z_20da938f/with_robot/metrics.csv
simple_supermarket_1f,single_round,20260529T221252Z_eaaee666,0.6957,0.4685,0.9239,0.8077,backend/data/experiments/simple_supermarket_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_single_round/20260529T221252Z_eaaee666/with_robot/metrics.csv
simple_supermarket_1f,goal_review,20260529T223928Z_6a8531b1,0.6860,0.4663,0.9136,0.7821,backend/data/experiments/simple_supermarket_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_goal_review/20260529T223928Z_6a8531b1/with_robot/metrics.csv
simple_office_1f,no_robot,20260529T232706Z_1da5e1ed,0.4559,0.5189,0.3496,0.5000,backend/data/experiments/simple_office_1f/steps_800__robots_0__humans_3__model_npc_only_baseline/20260529T232706Z_1da5e1ed/no_robot/metrics.csv
simple_office_1f,reactive,20260529T232727Z_001f3766,0.4624,0.5334,0.3496,0.5000,backend/data/experiments/simple_office_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_reactive/20260529T232727Z_001f3766/with_robot/metrics.csv
simple_office_1f,single_round,20260529T234155Z_6a70bb84,0.7398,0.5082,0.9704,0.8571,backend/data/experiments/simple_office_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_single_round/20260529T234155Z_6a70bb84/with_robot/metrics.csv
simple_office_1f,goal_review,20260530T000946Z_7ae3a0f1,0.7415,0.5131,0.9692,0.8571,backend/data/experiments/simple_office_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_goal_review/20260530T000946Z_7ae3a0f1/with_robot/metrics.csv
simple_factory_1f,no_robot,20260530T010037Z_01754b48,0.3806,0.2555,0.6080,0.2639,backend/data/experiments/simple_factory_1f/steps_800__robots_0__humans_3__model_npc_only_baseline/20260530T010037Z_01754b48/no_robot/metrics.csv
simple_factory_1f,reactive,20260530T010059Z_3ea5e142,0.3845,0.2643,0.6080,0.2639,backend/data/experiments/simple_factory_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_reactive/20260530T010059Z_3ea5e142/with_robot/metrics.csv
simple_factory_1f,single_round,20260530T011329Z_861b65ca,0.6461,0.4108,0.9845,0.5833,backend/data/experiments/simple_factory_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_single_round/20260530T011329Z_861b65ca/with_robot/metrics.csv
simple_factory_1f,goal_review,20260530T013655Z_85d489bb,0.6433,0.4108,0.9845,0.5694,backend/data/experiments/simple_factory_1f/steps_800__robots_1__humans_3__model_vllm_deepseek_r1_14b_goal_review/20260530T013655Z_85d489bb/with_robot/metrics.csv
