scene,method,final_score,state_score,spatial_score,human_event_score,row_count,min_step,max_step,missing_steps
simple_home_1f,no_robot,0.6588,0.5956,0.6187,0.871,800,0,799,0
simple_home_1f,reactive,0.6719,0.6248,0.6187,0.871,800,0,799,0
simple_home_1f,single_round,0.6192,0.6287,0.5553,0.7097,800,0,799,0
simple_home_1f,goal_review,0.7349,0.6196,0.7592,0.9516,800,0,799,0
simple_hospital_1f,no_robot,0.5205,0.5634,0.2904,0.8264,800,0,799,0
simple_hospital_1f,reactive,0.5439,0.6189,0.2901,0.8194,800,0,799,0
simple_hospital_1f,single_round,0.6953,0.5679,0.6851,1.0,800,0,799,0
simple_hospital_1f,goal_review,0.6121,0.5717,0.5177,0.8681,800,0,799,0
simple_supermarket_1f,no_robot,0.5762,0.449,0.7321,0.5897,800,0,799,0
simple_supermarket_1f,reactive,0.5684,0.4893,0.6578,0.5897,800,0,799,0
simple_supermarket_1f,single_round,0.6945,0.4687,0.9055,0.8333,800,0,799,0
simple_supermarket_1f,goal_review,0.658,0.4656,0.8492,0.7564,800,0,799,0
simple_office_1f,no_robot,0.4559,0.5189,0.3496,0.5,800,0,799,0
simple_office_1f,reactive,0.5127,0.6524,0.3404,0.5,800,0,799,0
simple_office_1f,single_round,0.7584,0.546,0.975,0.8571,800,0,799,0
simple_office_1f,goal_review,0.688,0.5221,0.8863,0.7143,800,0,799,0
simple_factory_1f,no_robot,0.3806,0.2555,0.608,0.2639,800,0,799,0
simple_factory_1f,reactive,0.3748,0.3203,0.5082,0.2639,800,0,799,0
simple_factory_1f,single_round,0.6516,0.423,0.9845,0.5833,800,0,799,0
simple_factory_1f,goal_review,0.581,0.3079,0.9625,0.5278,800,0,799,0
